CS_MCF15_program-004 2
0.012838
2
0.3
	86	88	89	86	67	73	70	86	84	66	
	82	72	72	71	83	70	62	80	69	81	
	72	78	64	74	77	75	75	77	70	75	
	83	79	85	83	59	85	72	83	84	78	
	77	77	76	72	64	91	77	75	79	88	
	66	62	74	89	59	78	85	83	88	77	
	66	78	66	79	93	72	84	76	87	74	
	78	74	74	72	92	65	89	85	66	70	
	89	73	70	77	75	99	76	71	89	74	
	76	69	61	80	74	79	85	71	75	85	
	76	82	89	70	66	84	78	81	66	73	
	62	75	93	78	87	75	85	70	74	79	
	63	60	94	82	80	65	78	91	89	88	
	89	78	83	70	92	82	80	72	93	93	
	80	73	76	85	81	82	89	89	99	96	
	83	78	90	100	91	93	101	101	97	99	
	117	121	129	142	144	150	166	203	209	236	
	320	367	476	580	704	913	1163	1440	1838	2414	
	3076	3713	4792	6188	7574	9673	11971	14793	17571	21345	
	25407	30116	34991	40978	47339	53707	60956	68805	75548	83895	
	92069	99432	107439	114527	122041	127951	134257	140043	144387	147575	
	151092	153410	154617	155157	154592	154701	153719	152061	150589	148019	
	144294	140825	137951	133826	130397	127111	122989	118964	114988	111725	
	107673	104395	101309	96849	93495	90789	87239	85146	81622	78682	
	76069	73732	70435	68809	65987	64308	61567	59312	57502	55603	
	53856	52119	50303	48358	46995	45388	44010	42385	41137	39916	
	38735	37871	36408	35180	34234	33008	32304	31072	30459	29205	
	28310	27917	26656	26016	25362	24639	23804	23301	22454	22070	
	21246	20512	20208	19643	19041	18230	18067	17292	17196	16727	
	16234	15674	15199	15092	14499	13967	13659	13379	13332	12578	
	12590	11986	11757	11812	11366	11140	10904	10510	10003	9905	
	9583	9501	9309	9007	8854	8684	8490	8484	8105	8228	
	7794	7586	7540	7305	7155	7040	6870	6698	6663	6449	
	6283	6305	6153	6149	5884	5736	5659	5536	5510	5391	
	5198	5202	5088	4987	4843	4874	4681	4635	4572	4433	
	4497	4325	4173	4066	4064	3985	4013	4010	3826	3854	
	3675	3650	3607	3448	3537	3466	3394	3423	3328	3299	
	3277	3118	3030	3205	2987	3018	2810	2931	2869	2832	
	2784	2685	2616	2671	2620	2549	2537	2580	2499	2447	
	2348	2360	2334	2356	2262	2219	2228	2135	2192	2251	
	2156	2132	2125	1995	2004	2001	1929	1952	1904	1929	
	1915	1833	1866	1816	1829	1689	1771	1810	1663	1687	
	1777	1730	1656	1741	1614	1543	1588	1625	1550	1558	
	1488	1495	1455	1532	1453	1376	1471	1490	1398	1403	
	1373	1404	1328	1336	1301	1290	1323	1289	1297	1226	
	1273	1259	1200	1184	1185	1219	1194	1120	1126	1163	
	1104	1085	1116	1143	1062	1108	1024	1094	1006	1041	
	1038	984	981	1008	1005	959	968	882	995	942	
	937	908	885	967	869	942	839	857	852	834	
	849	856	840	811	796	835	793	746	797	808	
	777	787	762	785	786	752	753	757	719	750	
